81.54,131,155,1.496999 
94.93,145,169,1.438750 
94.66,136,166,1.438750 
67.74,117,135,1.595220 
74.7,115,138,1.537750 
70.23,90,95,1.487490 
64.14,72,86,1.516330 
56.81,65,74,1.607379 
57.05,65,76,1.622799 
60.64,62,73,1.603112 
58.16,65,78,1.622992 
60.29,67,76,1.620411 
55.38,70,84,1.638539 
50.88,68,82,1.658441 
49.81,84,96,1.617722 
53.02,71,83,1.648498 
60.08,58,72,1.639999 
58.9,90,110,1.518229 
52.43,80,93,1.517417 
50.8,91,109,1.570989 
52.95,95,111,1.571351 
59.46,86,102,1.539956 
56.36,80,93,1.568832 
61.14,57,67,1.589130 
60.67,75,91,1.563839 
59.38,66,76,1.583126 
43.7,84,97,1.605620 
44.87,76,91,1.639300 
47.23,68,80,1.670029 
48.32,69,82,1.666718 
41.24,64,75,1.701536 
37.95,66,73,1.723420 
63.33,101,120,1.618000 
65.44,93,109,1.603001 
45.79,86,101,1.548141 
47.23,82,98,1.540720 
48.84,82,96,1.531717 
40.75,74,88,1.581439 
42.82,79,90,1.567322 
41.5,74,89,1.575006 
35.7,81,96,1.625882 
36.26,81,95,1.620041 
38.03,83,96,1.603420 
39.24,84,104,1.595509 
33.79,83,98,1.647689 
32.1,79,95,1.672700 
34.46,80,99,1.639799 
31.07,82,98,1.688931 
30.13,75,89,1.698947 
29.52,82,96,1.717362 
28.3,85,100,1.739998 
27.51,85,100,1.755199 
25.42,89,107,1.805181 
28.46,80,97,1.728250 
25.68,89,103,1.784723 
27.79,83,96,1.740769 
26.52,87,100,1.761821 
29.23,83,98,1.721507 
26.29,88,106,1.784696 
23.78,88,104,1.846660 
23.78,88,104,1.846660 
24.11,75,91,1.963000 
58.55,67,81,1.651597 
53.87,61,74,1.712995 
54.82,61,74,1.691002 
50.23,61,76,1.719995 
55.34,72,86,1.677900 
53.21,57,72,1.693501 
55.53,57,71,1.696797 
54.68,59,69,1.729157 
54.09,54,69,1.729160 
51.11,90,105,1.699300 
52.38,50,61,1.703000 
56.16,71,83,1.650996 
56.24,43,55,1.651000 
50.81,75,86,1.693495 
51.47,55,68,1.733997 
52.64,57,70,1.740999 
44.78,74,87,1.743997 
47.92,80,94,1.717004 
35.28,67,79,1.749497 
47.82,57,69,1.756998 
40.1,71,84,1.762001 
49.34,54,66,1.743198 
46.02,66,80,1.720002 
34.97,79,95,1.800999 
37.09,89,105,1.793600 
44.2,59,72,1.785896 
42.22,60,73,1.799516 
42.24,60,73,1.799520 
40.92,59,70,1.806098 
40.93,58,71,1.806100 
42.73,62,77,1.834807 
42.74,63,77,1.834810 
40.76,66,78,1.882997 
46.62,63,76,1.816000 
37.16,56,71,1.834000 
37.21,58,73,1.834000 
39.59,58,70,1.804398 
39.58,79,93,1.804400 
47.37,61,74,1.788001 
46.58,60,74,1.804000 
46.53,61,75,1.804000 
49.6,62,74,1.772499 
32.27,77,91,1.850259 
28.27,60,71,2.003300 
31.6,57,71,1.916500 
40.78,68,80,1.851500 
37.13,75,87,1.891900 
35.04,70,86,1.905250 
31.34,73,87,1.903660 
48.49,70,84,1.763850 
52.32,58,72,1.755000 
32.32,73,87,1.953750 
29.14,75,88,2.001000 
35.31,90,100,1.592701 
44.27,65,78,1.613397 
39.68,66,84,1.654115 
34.71,81,100,1.720467 
35.33,73,92,1.749505 
38.26,77,98,1.673000 
32.33,71,93,1.738000 
29.84,82,90,1.800000 
24.8,77,94,1.854780 
30.05,77,92,1.850250 
28.43,74,95,1.788800 
22.76,83,104,1.808095 
22.76,83,104,1.808095 
18.9,67,83,1.922860 
17.47,59,65,1.959060 
20.36,73,88,1.892860 
22.73,76,84,1.858956 
23.91,109,130,1.778300 
23.88,74,90,1.846660 
